t,px1,px2,px3,px4,nx1,nx2,nx3,nx4,py1,py2,py3,py4,ny1,ny2,ny3,ny4,pz1,pz2,pz3,pz4,nz1,nz2,nz3,nz4,sx,sy,sz,sx_unit,sy_unit,sz_unit
46,0,0,0,0,0.976759805,0.74530478,0.976759805,0.59100143,0,0,0,0,-0.174976079,-0.252127754,0.442237321,0.519388996,0,0,0,0,0.457370809,0.920280859,0.611674159,0.148764109,-1,-0.2,-0.8,-0.77151675,-0.15430335,-0.624390541
47,0,0,0,0,0.985471331,0.81644048,0.985471331,0.647409629,0,0,0,0,-0.107161265,-0.276192116,0.399931287,0.568962138,0,0,0,0,0.354639607,0.86173216,0.523670458,0.016577905,-1,-0.2,-0.6,-0.845154255,-0.169030851,-0.514193378
48,0,0,0,0,0.973143601,0.881856508,0.973143601,0.699282322,0,0,0,0,-0.024460303,-0.298321582,0.340688069,0.614549348,0,0,0,0,0.224940673,0.772663231,0.407514859,-0.140207699,-1,-0.2,-0.4,-0.912870929,-0.182574186,-0.37113481
49,0,0,0,0,0.929558378,0.929558378,0.929558378,0.737108288,0,0,0,0,0.070441622,-0.314458558,0.262891712,0.647791891,0,0,0,0,0.070441622,0.647791891,0.262891712,-0.314458558,-1,-0.2,-0.2,-0.962250449,-0.19245009,-0.19596545
50,0,0,0,0,0.849207776,0.947265843,0.849207776,0.751149708,0,0,0,0,0.169841555,-0.320448783,0.169841555,0.660131893,0,0,0,0,0,0,0,0,-1,-0.2,0,-0.980580676,-0.196116135,0
51,0,0,0,0,0.737108288,0.929558378,0.737108288,0.737108288,0,0,0,0,0.262891712,-0.314458558,0.070441622,0.647791891,0.070441622,-0.314458558,0.262891712,0.647791891,0,0,0,0,-1,-0.2,0.2,-0.962250449,-0.19245009,0.19596545
52,0,0,0,0,0.607995229,0.881856508,0.607995229,0.699282322,0,0,0,0,0.340688069,-0.298321582,-0.024460303,0.614549348,0.224940673,-0.140207699,0.407514859,0.772663231,0,0,0,0,-1,-0.2,0.4,-0.912870929,-0.182574186,0.37113481
53,0,0,0,0,0.478378778,0.81644048,0.478378778,0.647409629,0,0,0,0,0.399931287,-0.276192116,-0.107161265,0.568962138,0.354639607,0.016577905,0.523670458,0.86173216,0,0,0,0,-1,-0.2,0.6,-0.845154255,-0.169030851,0.514193378
54,0,0,0,0,0.359546405,0.74530478,0.359546405,0.59100143,0,0,0,0,0.442237321,-0.252127754,-0.174976079,0.519388996,0.457370809,0.148764109,0.611674159,0.920280859,0,0,0,0,-1,-0.2,0.8,-0.77151675,-0.15430335,0.624390541
55,0,0,0,0,0.256269042,0.676353067,0.256269042,0.536325058,0,0,0,0,0.471337834,-0.228802208,-0.228802208,0.471337834,0.536325058,0.256269042,0.676353067,0.956409084,0,0,0,0,-1,-0.2,1,-0.700140042,-0.140028008,0.706824108
